,    Solvables       ,        Solution 1       ,        Solution 2       ,        Solution 3       ,        Solution 4       ,        Solution 5       ,        Solution 6       ,        Solution 7       ,        Solution 8       ,        Solution 9       ,        Solution 10       ,        Solution 11       
1,    1 1 1 8 ,  (1+1+1)×8 ,,,,,,,,,,
2,    1 1 1 11 ,  (11+1)×(1+1) ,,,,,,,,,,
3,    1 1 1 12 ,  (1+1)×12×1 ,,,,,,,,,,
4,    1 1 1 13 ,  (13-1)×(1+1) ,,,,,,,,,,
5,    1 1 2 6 ,  (1+1)×6×2 ,  (2+1+1)×6 ,,,,,,,,,
6,    1 1 2 7 ,  (7+1)×(2+1) ,,,,,,,,,,
7,    1 1 2 8 ,  (2+1)×8×1 ,,,,,,,,,,
8,    1 1 2 9 ,  (9-1)×(2+1) ,,,,,,,,,,
9,    1 1 2 10 ,  (10+2)×(1+1) ,  (10+1+1)×2 ,,,,,,,,,
10,    1 1 2 11 ,  11×2+1+1 ,  (1+1)×11+2 ,  (11+1)×2×1 ,,,,,,,,
11,    1 1 2 12 ,  12×2+1-1 ,  12/(1-1/2) ,,,,,,,,,
12,    1 1 2 13 ,  13×2-1-1 ,  (1+1)×13-2 ,  (13-1)×2×1 ,,,,,,,,
13,    1 1 3 4 ,  (1+1)×4×3 ,,,,,,,,,,
14,    1 1 3 5 ,  (5+1)×(3+1) ,,,,,,,,,,
15,    1 1 3 6 ,  (6+1+1)×3 ,  (3+1)×6×1 ,,,,,,,,,
16,    1 1 3 7 ,  (7-1)×(3+1) ,  (7+1)×3×1 ,,,,,,,,,
17,    1 1 3 8 ,  8×3+1-1 ,,,,,,,,,,
18,    1 1 3 9 ,  (9+3)×(1+1) ,  (9-1)×3×1 ,,,,,,,,,
19,    1 1 3 10 ,  (10-1-1)×3 ,,,,,,,,,,
20,    1 1 3 11 ,  (11+1)×(3-1) ,,,,,,,,,,
21,    1 1 3 12 ,  (3-1)×12×1 ,,,,,,,,,,
22,    1 1 3 13 ,  (13-1)×(3-1) ,,,,,,,,,,
23,    1 1 4 4 ,  (4+1+1)×4 ,,,,,,,,,,
24,    1 1 4 5 ,  (4+1)×5-1 ,  (5+1)×4×1 ,,,,,,,,,
25,    1 1 4 6 ,  6×4+1-1 ,,,,,,,,,,
26,    1 1 4 7 ,  (7-1)×4×1 ,  (7+1)×(4-1) ,,,,,,,,,
27,    1 1 4 8 ,  (8+4)×(1+1) ,  (8-1-1)×4 ,  (4-1)×8×1 ,,,,,,,,
28,    1 1 4 9 ,  (9-1)×(4-1) ,,,,,,,,,,
29,    1 1 4 10 ,  (1+1)×10+4 ,,,,,,,,,,
30,    1 1 4 12 ,  12×4/(1+1) ,  (4-1-1)×12 ,,,,,,,,,
31,    1 1 5 5 ,  (5+1)×(5-1) ,  (5×5-1)×1 ,,,,,,,,,
32,    1 1 5 6 ,  (5-1)×6×1 ,  (6-1)×5-1 ,,,,,,,,,
33,    1 1 5 7 ,  (7+5)×(1+1) ,  (7-1)×(5-1) ,,,,,,,,,
34,    1 1 5 8 ,  (5-1-1)×8 ,,,,,,,,,,
35,    1 1 6 6 ,  (6+6)×(1+1) ,  (6-1-1)×6 ,,,,,,,,,
36,    1 1 6 8 ,  8×6/(1+1) ,,,,,,,,,,
37,    1 1 6 9 ,  (1+1)×9+6 ,,,,,,,,,,
38,    1 1 6 12 ,  (1+1)×6+12 ,,,,,,,,,,
39,    1 1 7 10 ,  (1+1)×7+10 ,,,,,,,,,,
40,    1 1 8 8 ,  (1+1)×8+8 ,,,,,,,,,,
41,    1 1 9 13 ,  13+9+1+1 ,,,,,,,,,,
42,    1 1 10 12 ,  12+10+1+1 ,,,,,,,,,,
43,    1 1 10 13 ,  (13+10+1)×1 ,,,,,,,,,,
44,    1 1 11 11 ,  11+11+1+1 ,,,,,,,,,,
45,    1 1 11 12 ,  (12+11+1)×1 ,,,,,,,,,,
46,    1 1 11 13 ,  13+11+1-1 ,,,,,,,,,,
47,    1 1 12 12 ,  12+12+1-1 ,,,,,,,,,,
48,    1 1 12 13 ,  (13+12-1)×1 ,,,,,,,,,,
49,    1 1 13 13 ,  13+13-1-1 ,,,,,,,,,,
50,    1 2 2 4 ,  (2+1)×4×2 ,,,,,,,,,,
51,    1 2 2 5 ,  (5+1)×(2+2) ,  (5+1)×2×2 ,,,,,,,,,
52,    1 2 2 6 ,  (6+2)×(2+1) ,  6×2×2×1 ,  (2+2)×6×1 ,,,,,,,,
53,    1 2 2 7 ,  (7-1)×(2+2) ,  (7-1)×2×2 ,,,,,,,,,
54,    1 2 2 8 ,  (2+2-1)×8 ,  (2×2-1)×8 ,,,,,,,,,
55,    1 2 2 9 ,  (9+2+1)×2 ,,,,,,,,,,
56,    1 2 2 10 ,  (10-2)×(2+1) ,  (10+2)×2×1 ,  (10+1)×2+2 ,,,,,,,,
57,    1 2 2 11 ,  (11+2-1)×2 ,  (11×2+2)×1 ,,,,,,,,,
58,    1 2 2 12 ,  (2-1)×12×2 ,  (12+1)×2-2 ,  (12-1)×2+2 ,  (2/2+1)×12 ,,,,,,,
59,    1 2 2 13 ,  (13+1-2)×2 ,  (13×2-2)×1 ,,,,,,,,,
60,    1 2 3 3 ,  (3+1)×3×2 ,,,,,,,,,,
61,    1 2 3 4 ,  (3+2+1)×4 ,  4×3×2×1 ,  (4+2)×(3+1) ,,,,,,,,
62,    1 2 3 5 ,  (5+3)×(2+1) ,  (5+2+1)×3 ,  (5-1)×3×2 ,  (3+2)×5-1 ,,,,,,,
63,    1 2 3 6 ,  (3+2-1)×6 ,  (6+2)×3×1 ,  (3-1)×6×2 ,,,,,,,,
64,    1 2 3 7 ,  7×3+2+1 ,  (2+1)×7+3 ,  (7+2-1)×3 ,,,,,,,,
65,    1 2 3 8 ,  (2-1)×8×3 ,  (8-2)×(3+1) ,  (8+3+1)×2 ,  8/(1-2/3) ,,,,,,,
66,    1 2 3 9 ,  9×3-2-1 ,  (2+1)×9-3 ,  (9+3)×2×1 ,  (9+1-2)×3 ,,,,,,,
67,    1 2 3 10 ,  10×2+3+1 ,  (10-2)×3×1 ,  (10+3-1)×2 ,  (10+2)×(3-1) ,,,,,,,
68,    1 2 3 11 ,  (11-3)×(2+1) ,  (11-2-1)×3 ,  11×2+3-1 ,  (3-1)×11+2 ,,,,,,,
69,    1 2 3 12 ,  (3+1-2)×12 ,  (3+1)×12/2 ,  12/(3/2-1) ,,,,,,,,
70,    1 2 3 13 ,  13×2+1-3 ,  (3-1)×13-2 ,,,,,,,,,
71,    1 2 4 4 ,  (4+4)×(2+1) ,  (4+2)×4×1 ,  (4-1)×4×2 ,,,,,,,,
72,    1 2 4 5 ,  (5+2-1)×4 ,  (4+2)×(5-1) ,,,,,,,,,
73,    1 2 4 6 ,  (2-1)×6×4 ,  (6+2)×(4-1) ,,,,,,,,,
74,    1 2 4 7 ,  (7+1-2)×4 ,  (7+4+1)×2 ,,,,,,,,,
75,    1 2 4 8 ,  (8+4)×2×1 ,  (4+1-2)×8 ,  (8-2)×4×1 ,  (4/2+1)×8 ,,,,,,,
76,    1 2 4 9 ,  (9-2-1)×4 ,  (9+4-1)×2 ,  (9+1)×2+4 ,,,,,,,,
77,    1 2 4 10 ,  (10-2)×(4-1) ,  (10×2+4)×1 ,  (10/2+1)×4 ,,,,,,,,
78,    1 2 4 11 ,  (11+1)×(4-2) ,  (11+1)×4/2 ,  (11-1)×2+4 ,,,,,,,,
79,    1 2 4 12 ,  (12-4)×(2+1) ,  (2+1)×4+12 ,  12×4×1/2 ,  (4-2)×12×1 ,  12/(1-2/4) ,,,,,,
80,    1 2 4 13 ,  (13+1)×2-4 ,  (13-1)×(4-2) ,  (13-1)×4/2 ,,,,,,,,
81,    1 2 5 5 ,  5×5+1-2 ,,,,,,,,,,
82,    1 2 5 6 ,  (5+1-2)×6 ,  (5+1)×(6-2) ,  (6+5+1)×2 ,,,,,,,,
83,    1 2 5 7 ,  (7+5)×2×1 ,  (7+1)×(5-2) ,  (7-2)×5-1 ,,,,,,,,
84,    1 2 5 8 ,  (5+1)×8/2 ,  (8+5-1)×2 ,  (8-2)×(5-1) ,  (5-2)×8×1 ,,,,,,,
85,    1 2 5 9 ,  (2+1)×5+9 ,  9×2+5+1 ,  (9-1)×(5-2) ,,,,,,,,
86,    1 2 5 10 ,  10×2+5-1 ,  10×5/2-1 ,,,,,,,,,
87,    1 2 5 12 ,  (5-2-1)×12 ,  (5+1)×2+12 ,  (5-1)×12/2 ,,,,,,,,
88,    1 2 5 13 ,  (13-5)×(2+1) ,  5×2+13+1 ,,,,,,,,,
89,    1 2 6 6 ,  (2+1)×6+6 ,  (6+6)×2×1 ,  (6-2)×6×1 ,  (6/2+1)×6 ,,,,,,,
90,    1 2 6 7 ,  (7-2-1)×6 ,  (7+6-1)×2 ,  (7+1)×6/2 ,  (7-1)×(6-2) ,,,,,,,
91,    1 2 6 8 ,  (6-2-1)×8 ,  8×6×1/2 ,  (8+1)×2+6 ,,,,,,,,
92,    1 2 6 9 ,  (9-1)×6/2 ,  (9×2+6)×1 ,,,,,,,,,
93,    1 2 6 10 ,  (2+1)×10-6 ,  (6+1)×2+10 ,  (10-1)×2+6 ,  (10/2-1)×6 ,,,,,,,
94,    1 2 6 11 ,  6×2+11+1 ,,,,,,,,,,
95,    1 2 6 12 ,  12×6/(2+1) ,  (6×2+12)×1 ,  (6/2-1)×12 ,,,,,,,,
96,    1 2 6 13 ,  6×2+13-1 ,,,,,,,,,,
97,    1 2 7 7 ,  (7×7-1)/2 ,,,,,,,,,,
98,    1 2 7 8 ,  8×2+7+1 ,  (7+1)×2+8 ,  (7-1)×8/2 ,,,,,,,,
99,    1 2 7 9 ,  9×2+7-1 ,  7×2+9+1 ,,,,,,,,,
100,    1 2 7 10 ,  (7×2+10)×1 ,,,,,,,,,,
101,    1 2 7 11 ,  7×2+11-1 ,,,,,,,,,,
102,    1 2 7 12 ,  (7-1)×2+12 ,,,,,,,,,,
103,    1 2 8 8 ,  (8×2+8)×1 ,  (8/2-1)×8 ,,,,,,,,,
104,    1 2 8 9 ,  9×8/(2+1) ,  8×2+9-1 ,  (9-1)×2+8 ,,,,,,,,
105,    1 2 8 10 ,  (8-1)×2+10 ,,,,,,,,,,
106,    1 2 8 13 ,  13+8+2+1 ,,,,,,,,,,
107,    1 2 9 11 ,  (2+1)×11-9 ,,,,,,,,,,
108,    1 2 9 12 ,  12+9+2+1 ,,,,,,,,,,
109,    1 2 9 13 ,  (13+9+2)×1 ,,,,,,,,,,
110,    1 2 10 11 ,  11+10+2+1 ,,,,,,,,,,
111,    1 2 10 12 ,  (12+10+2)×1 ,,,,,,,,,,
112,    1 2 10 13 ,  13+10+2-1 ,,,,,,,,,,
113,    1 2 11 11 ,  (11+11+2)×1 ,,,,,,,,,,
114,    1 2 11 12 ,  12+11+2-1 ,  2/(1-11/12) ,,,,,,,,,
115,    1 2 11 13 ,  (13+11)×(2-1) ,,,,,,,,,,
116,    1 2 12 12 ,  (2+1)×12-12 ,  (12+12)×(2-1) ,,,,,,,,,
117,    1 2 12 13 ,  13+12+1-2 ,  2/(13/12-1) ,,,,,,,,,
118,    1 2 13 13 ,  (13+13-2)×1 ,,,,,,,,,,
119,    1 3 3 3 ,  (3+3)×(3+1) ,  (3×3-1)×3 ,,,,,,,,,
120,    1 3 3 4 ,  (4+3+1)×3 ,  (3-1)×4×3 ,  (3+3)×4×1 ,,,,,,,,
121,    1 3 3 5 ,  (5+3)×3×1 ,  (3+3)×(5-1) ,,,,,,,,,
122,    1 3 3 6 ,  (6+3-1)×3 ,  (6+1)×3+3 ,,,,,,,,,
123,    1 3 3 7 ,  (7×3+3)×1 ,,,,,,,,,,
124,    1 3 3 8 ,  (8+1)×3-3 ,  (8-1)×3+3 ,,,,,,,,,
125,    1 3 3 9 ,  (9-3)×(3+1) ,  (9+3)×(3-1) ,  (3-1/3)×9 ,  (9×3-3)×1 ,,,,,,,
126,    1 3 3 10 ,  (10+1-3)×3 ,  (10-1)×3-3 ,,,,,,,,,
127,    1 3 3 11 ,  (11-3)×3×1 ,,,,,,,,,,
128,    1 3 3 12 ,  (3+1)×3+12 ,  (12-3-1)×3 ,  (3/3+1)×12 ,,,,,,,,
129,    1 3 4 4 ,  (4+4)×3×1 ,  (4+3-1)×4 ,,,,,,,,,
130,    1 3 4 5 ,  5×4+3+1 ,  (3+1)×5+4 ,  (5+4-1)×3 ,  (5+3)×(4-1) ,,,,,,,
131,    1 3 4 6 ,  6/(1-3/4) ,,,,,,,,,,
132,    1 3 4 7 ,  7×4-3-1 ,  (3+1)×7-4 ,  7×3+4-1 ,  (4-1)×7+3 ,,,,,,,
133,    1 3 4 8 ,  (3+1)×4+8 ,  (8+1-3)×4 ,  (8+4)×(3-1) ,  8/(4/3-1) ,,,,,,,
134,    1 3 4 9 ,  (4+1)×3+9 ,  (9-3)×4×1 ,  9×3+1-4 ,  (4-1)×9-3 ,,,,,,,
135,    1 3 4 10 ,  (10-4)×(3+1) ,  (10-3-1)×4 ,  (3-1)×10+4 ,,,,,,,,
136,    1 3 4 11 ,  (11+1-4)×3 ,  (11-3)×(4-1) ,  4×3+11+1 ,,,,,,,,
137,    1 3 4 12 ,  (12-4)×3×1 ,  (4+1-3)×12 ,  12×4/(3-1) ,  (4×3+12)×1 ,,,,,,,
138,    1 3 4 13 ,  (13-4-1)×3 ,  4×3+13-1 ,,,,,,,,,
139,    1 3 5 6 ,  6×3+5+1 ,  (5+1)×3+6 ,,,,,,,,,
140,    1 3 5 7 ,  (7+5)×(3-1) ,  (5+1)×(7-3) ,,,,,,,,,
141,    1 3 5 8 ,  (5+1-3)×8 ,  5×3+8+1 ,  (8-3)×5-1 ,,,,,,,,
142,    1 3 5 9 ,  (9-3)×(5-1) ,  (5×3+9)×1 ,  (5/3+1)×9 ,,,,,,,,
143,    1 3 5 10 ,  10×3-5-1 ,  5×3+10-1 ,,,,,,,,,
144,    1 3 5 11 ,  (11-5)×(3+1) ,  (11+1)×(5-3) ,,,,,,,,,
145,    1 3 5 12 ,  (5+1)×12/3 ,  (12+1-5)×3 ,  (5-1)×3+12 ,  (5-3)×12×1 ,,,,,,,
146,    1 3 5 13 ,  (13-5)×3×1 ,  (13-1)×(5-3) ,,,,,,,,,
147,    1 3 6 6 ,  (6+1-3)×6 ,  (6+6)×(3-1) ,  (6×3+6)×1 ,,,,,,,,
148,    1 3 6 7 ,  (7-3)×6×1 ,  (7+1)×(6-3) ,  6×3+7-1 ,  (7-1)×3+6 ,,,,,,,
149,    1 3 6 8 ,  (8-3-1)×6 ,  8×6/(3-1) ,  (6-3)×8×1 ,  (6/3+1)×8 ,,,,,,,
150,    1 3 6 9 ,  (3-1)×9+6 ,  (6-1)×3+9 ,  (9+1)×3-6 ,  (9-1)×(6-3) ,  (9/3+1)×6 ,,,,,,
151,    1 3 6 10 ,  (10×3-6)×1 ,,,,,,,,,,
152,    1 3 6 11 ,  (11+1)×6/3 ,  (11-1)×3-6 ,,,,,,,,,
153,    1 3 6 12 ,  (12-6)×(3+1) ,  (6-3-1)×12 ,  12×6×1/3 ,  (3-1)×6+12 ,  12/(1-3/6) ,,,,,,
154,    1 3 6 13 ,  (13+1-6)×3 ,  (13-1)×6/3 ,,,,,,,,,
155,    1 3 7 7 ,  (7-1)×(7-3) ,,,,,,,,,,
156,    1 3 7 8 ,  (7-3-1)×8 ,  3/(1-7/8) ,,,,,,,,,
157,    1 3 7 9 ,  (7+1)×9/3 ,,,,,,,,,,
158,    1 3 7 10 ,  (3-1)×7+10 ,  10×3+1-7 ,,,,,,,,,
159,    1 3 7 12 ,  (7-1)×12/3 ,,,,,,,,,,
160,    1 3 7 13 ,  13+7+3+1 ,  (13-7)×(3+1) ,,,,,,,,,
161,    1 3 8 8 ,  (3+1)×8-8 ,  (3-1)×8+8 ,  (8+1)×8/3 ,,,,,,,,
162,    1 3 8 9 ,  9×8×1/3 ,  3/(9/8-1) ,,,,,,,,,
163,    1 3 8 10 ,  (10-1)×8/3 ,,,,,,,,,,
164,    1 3 8 11 ,  11×3-8-1 ,,,,,,,,,,
165,    1 3 8 12 ,  12+8+3+1 ,  12×8/(3+1) ,  (12/3-1)×8 ,,,,,,,,
166,    1 3 8 13 ,  (13+8+3)×1 ,,,,,,,,,,
167,    1 3 9 9 ,  (9-1)×9/3 ,,,,,,,,,,
168,    1 3 9 10 ,  (10+1)×3-9 ,,,,,,,,,,
169,    1 3 9 11 ,  11+9+3+1 ,  (11×3-9)×1 ,  (11/3-1)×9 ,,,,,,,,
170,    1 3 9 12 ,  (3+1)×9-12 ,  (12-1)×3-9 ,  (12+9+3)×1 ,  (9/3-1)×12 ,,,,,,,
171,    1 3 9 13 ,  13+9+3-1 ,,,,,,,,,,
172,    1 3 10 10 ,  10+10+3+1 ,,,,,,,,,,
173,    1 3 10 11 ,  11×3+1-10 ,  (11+10+3)×1 ,,,,,,,,,
174,    1 3 10 12 ,  12+10+3-1 ,,,,,,,,,,
175,    1 3 11 11 ,  11+11+3-1 ,,,,,,,,,,
176,    1 3 11 12 ,  12×3-11-1 ,  (11+1)×3-12 ,,,,,,,,,
177,    1 3 12 12 ,  (12×3-12)×1 ,,,,,,,,,,
178,    1 3 12 13 ,  12×3+1-13 ,  (13-1)×3-12 ,,,,,,,,,
179,    1 3 13 13 ,  13+13+1-3 ,,,,,,,,,,
180,    1 4 4 4 ,  (4+1)×4+4 ,  (4+4)×(4-1) ,,,,,,,,,
181,    1 4 4 5 ,  (5×4+4)×1 ,,,,,,,,,,
182,    1 4 4 6 ,  (6+1)×4-4 ,  (6-1)×4+4 ,,,,,,,,,
183,    1 4 4 7 ,  4×4+7+1 ,  (7×4-4)×1 ,,,,,,,,,
184,    1 4 4 8 ,  (8-1)×4-4 ,  (4×4+8)×1 ,,,,,,,,,
185,    1 4 4 9 ,  (9+1-4)×4 ,  4×4+9-1 ,,,,,,,,,
186,    1 4 4 10 ,  (10-4)×4×1 ,,,,,,,,,,
187,    1 4 4 11 ,  (11-4-1)×4 ,,,,,,,,,,
188,    1 4 4 12 ,  (12-4)×(4-1) ,  (4-1)×4+12 ,  (4/4+1)×12 ,,,,,,,,
189,    1 4 5 5 ,  5×4+5-1 ,  (5-1)×5+4 ,,,,,,,,,
190,    1 4 5 6 ,  6/(5/4-1) ,  4/(1-5/6) ,,,,,,,,,
191,    1 4 5 7 ,  7×4+1-5 ,  (5-1)×7-4 ,,,,,,,,,
192,    1 4 5 8 ,  (5+1)×(8-4) ,  (5-1)×4+8 ,,,,,,,,,
193,    1 4 5 9 ,  (4-1)×5+9 ,  (9-4)×5-1 ,,,,,,,,,
194,    1 4 5 10 ,  (10+1-5)×4 ,  (10-4)×(5-1) ,,,,,,,,,
195,    1 4 5 11 ,  (11-5)×4×1 ,,,,,,,,,,
196,    1 4 5 12 ,  (5+1-4)×12 ,  (12-5-1)×4 ,,,,,,,,,
197,    1 4 5 13 ,  (13-5)×(4-1) ,,,,,,,,,,
198,    1 4 6 6 ,  (4+1)×6-6 ,  (4-1)×6+6 ,,,,,,,,,
199,    1 4 6 7 ,  (7+1-4)×6 ,  4/(7/6-1) ,,,,,,,,,
200,    1 4 6 8 ,  (6+1-4)×8 ,  (8-4)×6×1 ,  8/(1-4/6) ,,,,,,,,
201,    1 4 6 9 ,  (9-4-1)×6 ,,,,,,,,,,
202,    1 4 6 10 ,  (4-1)×10-6 ,,,,,,,,,,
203,    1 4 6 11 ,  (11+1-6)×4 ,  (11+1)×(6-4) ,,,,,,,,,
204,    1 4 6 12 ,  (12-6)×4×1 ,  12×6/(4-1) ,  (6-4)×12×1 ,  12/(6/4-1) ,  (12/4+1)×6 ,,,,,,
205,    1 4 6 13 ,  13+6+4+1 ,  (13-6-1)×4 ,  (13-1)×(6-4) ,,,,,,,,
206,    1 4 7 7 ,  (7+1)×(7-4) ,,,,,,,,,,
207,    1 4 7 8 ,  8×4-7-1 ,  (7+1)×4-8 ,  (7-1)×(8-4) ,  (7-4)×8×1 ,,,,,,,
208,    1 4 7 9 ,  (9-1)×(7-4) ,,,,,,,,,,
209,    1 4 7 11 ,  (4+1)×7-11 ,,,,,,,,,,
210,    1 4 7 12 ,  12+7+4+1 ,  (7-4-1)×12 ,  (7+1)×12/4 ,  (12+1-7)×4 ,,,,,,,
211,    1 4 7 13 ,  (13-7)×4×1 ,  (13+7+4)×1 ,,,,,,,,,
212,    1 4 8 8 ,  (8-4-1)×8 ,  (8×4-8)×1 ,  (8/4+1)×8 ,,,,,,,,
213,    1 4 8 9 ,  9×8/(4-1) ,  8×4+1-9 ,  (9-1)×4-8 ,,,,,,,,
214,    1 4 8 11 ,  11+8+4+1 ,  (11+1)×8/4 ,,,,,,,,,
215,    1 4 8 12 ,  12×8×1/4 ,  (8+1)×4-12 ,  (12+8+4)×1 ,  12/(1-4/8) ,,,,,,,
216,    1 4 8 13 ,  13+8+4-1 ,  (13+1-8)×4 ,  (13-1)×8/4 ,,,,,,,,
217,    1 4 9 10 ,  10+9+4+1 ,,,,,,,,,,
218,    1 4 9 11 ,  (4-1)×11-9 ,  9×4-11-1 ,  (11+9+4)×1 ,,,,,,,,
219,    1 4 9 12 ,  12+9+4-1 ,  (9-1)×12/4 ,  (9×4-12)×1 ,,,,,,,,
220,    1 4 9 13 ,  9×4+1-13 ,,,,,,,,,,
221,    1 4 10 10 ,  (10+10+4)×1 ,  10×10/4-1 ,,,,,,,,,
222,    1 4 10 11 ,  11+10+4-1 ,,,,,,,,,,
223,    1 4 10 12 ,  12×10/(4+1) ,  (10-1)×4-12 ,  4/(1-10/12) ,,,,,,,,
224,    1 4 12 12 ,  (4-1)×12-12 ,  (12/4-1)×12 ,,,,,,,,,
225,    1 5 5 5 ,  (5-1/5)×5 ,,,,,,,,,,
226,    1 5 5 6 ,  6×5-5-1 ,  (5+1)×5-6 ,,,,,,,,,
227,    1 5 5 9 ,  (5+1)×(9-5) ,,,,,,,,,,
228,    1 5 5 10 ,  (10-5)×5-1 ,,,,,,,,,,
229,    1 5 5 11 ,  (11-5)×(5-1) ,,,,,,,,,,
230,    1 5 5 12 ,  (5/5+1)×12 ,,,,,,,,,,
231,    1 5 5 13 ,  13+5+5+1 ,,,,,,,,,,
232,    1 5 6 6 ,  (6×5-6)×1 ,,,,,,,,,,
233,    1 5 6 7 ,  6×5+1-7 ,  (7-1)×5-6 ,,,,,,,,,
234,    1 5 6 8 ,  (8+1-5)×6 ,,,,,,,,,,
235,    1 5 6 9 ,  (9-5)×6×1 ,,,,,,,,,,
236,    1 5 6 10 ,  (5+1)×(10-6) ,  (10-5-1)×6 ,,,,,,,,,
237,    1 5 6 11 ,  (6+1)×5-11 ,  (11-6)×5-1 ,,,,,,,,,
