,    Solvables       ,        Solution 1       ,        Solution 2       ,        Solution 3       ,        Solution 4       ,        Solution 5       ,        Solution 6       ,        Solution 7       ,        Solution 8       ,        Solution 9       ,        Solution 10       ,        Solution 11       
238,    1 5 6 12 ,  12+6+5+1 ,  (5+1)×6-12 ,  (6+1-5)×12 ,  (12-6)×(5-1) ,,,,,,,
239,    1 5 6 13 ,  (13+6+5)×1 ,,,,,,,,,,
240,    1 5 7 8 ,  (7+1-5)×8 ,  (7+1)×(8-5) ,,,,,,,,,
241,    1 5 7 9 ,  (7-1)×(9-5) ,,,,,,,,,,
242,    1 5 7 10 ,  7×5-10-1 ,  (7/5+1)×10 ,,,,,,,,,
243,    1 5 7 11 ,  11+7+5+1 ,  (5+1)×(11-7) ,  (11+1)×(7-5) ,  (7×5-11)×1 ,,,,,,,
244,    1 5 7 12 ,  (7-5)×12×1 ,  7×5+1-12 ,  (12+7+5)×1 ,  (12-7)×5-1 ,,,,,,,
245,    1 5 7 13 ,  13+7+5-1 ,  (13-7)×(5-1) ,  (13-1)×(7-5) ,,,,,,,,
246,    1 5 8 8 ,  (5-1)×8-8 ,  (8-5)×8×1 ,,,,,,,,,
247,    1 5 8 9 ,  (9-5-1)×8 ,  (9-1)×(8-5) ,  9/(1-5/8) ,,,,,,,,
248,    1 5 8 10 ,  10+8+5+1 ,  (10/5+1)×8 ,,,,,,,,,
249,    1 5 8 11 ,  (8-1)×5-11 ,  (11+8+5)×1 ,,,,,,,,,
250,    1 5 8 12 ,  (5+1)×(12-8) ,  (8-5-1)×12 ,  12+8+5-1 ,  12×8/(5-1) ,,,,,,,
251,    1 5 8 13 ,  (13-8)×5-1 ,,,,,,,,,,
252,    1 5 9 9 ,  9+9+5+1 ,,,,,,,,,,
253,    1 5 9 10 ,  (10+9+5)×1 ,,,,,,,,,,
254,    1 5 9 11 ,  11+9+5-1 ,,,,,,,,,,
255,    1 5 9 12 ,  (5-1)×9-12 ,  (9+1)×12/5 ,,,,,,,,,
256,    1 5 9 13 ,  (5+1)×(13-9) ,,,,,,,,,,
257,    1 5 10 10 ,  10+10+5-1 ,,,,,,,,,,
258,    1 5 10 11 ,  (11+1)×10/5 ,,,,,,,,,,
259,    1 5 10 12 ,  12×10×1/5 ,  12/(1-5/10) ,,,,,,,,,
260,    1 5 10 13 ,  (13-1)×10/5 ,,,,,,,,,,
261,    1 5 11 11 ,  (11×11-1)/5 ,,,,,,,,,,
262,    1 5 11 12 ,  (11-1)×12/5 ,,,,,,,,,,
263,    1 5 12 12 ,  12×12/(5+1) ,,,,,,,,,,
264,    1 6 6 6 ,  (6-1)×6-6 ,,,,,,,,,,
265,    1 6 6 8 ,  6/(1-6/8) ,,,,,,,,,,
266,    1 6 6 9 ,  (9+1-6)×6 ,,,,,,,,,,
267,    1 6 6 10 ,  (10-6)×6×1 ,,,,,,,,,,
268,    1 6 6 11 ,  11+6+6+1 ,  (11-6-1)×6 ,  6×6-11-1 ,,,,,,,,
269,    1 6 6 12 ,  (12+6+6)×1 ,  (6×6-12)×1 ,  (6/6+1)×12 ,,,,,,,,
270,    1 6 6 13 ,  13+6+6-1 ,  6×6+1-13 ,,,,,,,,,
271,    1 6 7 9 ,  (7+1)×(9-6) ,,,,,,,,,,
272,    1 6 7 10 ,  10+7+6+1 ,  (10+1-7)×6 ,  (7-1)×(10-6) ,,,,,,,,
273,    1 6 7 11 ,  (11-7)×6×1 ,  (6-1)×7-11 ,  (11+7+6)×1 ,,,,,,,,
274,    1 6 7 12 ,  12+7+6-1 ,  (7+1-6)×12 ,  (12-7-1)×6 ,  (7-1)×6-12 ,,,,,,,
275,    1 6 8 8 ,  (8+1-6)×8 ,  8/(8/6-1) ,,,,,,,,,
276,    1 6 8 9 ,  9+8+6+1 ,  (9-6)×8×1 ,  8/(1-6/9) ,,,,,,,,
277,    1 6 8 10 ,  (10-6-1)×8 ,  (10+8+6)×1 ,  6/(10/8-1) ,,,,,,,,
278,    1 6 8 11 ,  11+8+6-1 ,  (11+1-8)×6 ,  (11+1)×(8-6) ,,,,,,,,
279,    1 6 8 12 ,  (12-8)×6×1 ,  (8-6)×12×1 ,  (12/6+1)×8 ,,,,,,,,
280,    1 6 8 13 ,  (13-8-1)×6 ,  (13-1)×(8-6) ,,,,,,,,,
281,    1 6 9 9 ,  (9-1)×(9-6) ,  (9+9+6)×1 ,,,,,,,,,
282,    1 6 9 10 ,  10+9+6-1 ,  (10/6+1)×9 ,,,,,,,,,
283,    1 6 9 12 ,  (9-6-1)×12 ,  (12+1-9)×6 ,  12/(9/6-1) ,  6/(1-9/12) ,,,,,,,
284,    1 6 9 13 ,  (13-9)×6×1 ,,,,,,,,,,
285,    1 6 10 12 ,  12×10/(6-1) ,,,,,,,,,,
286,    1 6 10 13 ,  (13+1-10)×6 ,,,,,,,,,,
287,    1 6 11 12 ,  (11+1)×12/6 ,,,,,,,,,,
288,    1 6 11 13 ,  (13×11+1)/6 ,,,,,,,,,,
289,    1 6 12 12 ,  12×12×1/6 ,  12/(1-6/12) ,,,,,,,,,
290,    1 6 12 13 ,  (13-1)×12/6 ,,,,,,,,,,
291,    1 7 7 9 ,  9+7+7+1 ,,,,,,,,,,
292,    1 7 7 10 ,  (7+1)×(10-7) ,  (10+7+7)×1 ,,,,,,,,,
293,    1 7 7 11 ,  11+7+7-1 ,  (7-1)×(11-7) ,,,,,,,,,
294,    1 7 7 12 ,  (7/7+1)×12 ,,,,,,,,,,
295,    1 7 8 8 ,  8+8+7+1 ,,,,,,,,,,
296,    1 7 8 9 ,  (9+1-7)×8 ,  (9+8+7)×1 ,,,,,,,,,
297,    1 7 8 10 ,  10+8+7-1 ,  (10-7)×8×1 ,,,,,,,,,
298,    1 7 8 11 ,  (7+1)×(11-8) ,  (11-7-1)×8 ,,,,,,,,,
299,    1 7 8 12 ,  (8+1-7)×12 ,  (7-1)×(12-8) ,,,,,,,,,
300,    1 7 9 9 ,  9+9+7-1 ,,,,,,,,,,
301,    1 7 9 10 ,  (9-1)×(10-7) ,,,,,,,,,,
302,    1 7 9 11 ,  (11+1)×(9-7) ,,,,,,,,,,
303,    1 7 9 12 ,  (7+1)×(12-9) ,  (9-7)×12×1 ,,,,,,,,,
304,    1 7 9 13 ,  (7-1)×(13-9) ,  (13-1)×(9-7) ,,,,,,,,,
305,    1 7 10 12 ,  (10-7-1)×12 ,  10/(1-7/12) ,,,,,,,,,
306,    1 7 10 13 ,  (7+1)×(13-10) ,,,,,,,,,,
307,    1 7 12 12 ,  12×12/(7-1) ,,,,,,,,,,
308,    1 7 12 13 ,  (13+1)×12/7 ,,,,,,,,,,
309,    1 7 13 13 ,  (13×13-1)/7 ,,,,,,,,,,
310,    1 8 8 8 ,  (8+8+8)×1 ,,,,,,,,,,
311,    1 8 8 9 ,  9+8+8-1 ,,,,,,,,,,
312,    1 8 8 10 ,  (10+1-8)×8 ,,,,,,,,,,
313,    1 8 8 11 ,  (11-8)×8×1 ,,,,,,,,,,
314,    1 8 8 12 ,  (12-8-1)×8 ,  (8/8+1)×12 ,  8/(1-8/12) ,,,,,,,,
315,    1 8 9 11 ,  (11+1-9)×8 ,  (9-1)×(11-8) ,  9/(11/8-1) ,,,,,,,,
316,    1 8 9 12 ,  (12-9)×8×1 ,  (9+1-8)×12 ,  8/(12/9-1) ,,,,,,,,
317,    1 8 9 13 ,  (13-9-1)×8 ,,,,,,,,,,
318,    1 8 10 11 ,  (11+1)×(10-8) ,,,,,,,,,,
319,    1 8 10 12 ,  (12+1-10)×8 ,  (10-8)×12×1 ,,,,,,,,,
320,    1 8 10 13 ,  (13-10)×8×1 ,  (13-1)×(10-8) ,,,,,,,,,
321,    1 8 11 12 ,  (11-8-1)×12 ,,,,,,,,,,
322,    1 8 11 13 ,  (13+1-11)×8 ,,,,,,,,,,
323,    1 8 12 12 ,  12/(12/8-1) ,,,,,,,,,,
324,    1 9 9 12 ,  (9-1)×(12-9) ,  (9/9+1)×12 ,,,,,,,,,
325,    1 9 10 12 ,  (10+1-9)×12 ,,,,,,,,,,
326,    1 9 10 13 ,  (9-1)×(13-10) ,,,,,,,,,,
327,    1 9 11 11 ,  (11+1)×(11-9) ,,,,,,,,,,
328,    1 9 11 12 ,  (11-9)×12×1 ,,,,,,,,,,
329,    1 9 11 13 ,  (13-1)×(11-9) ,,,,,,,,,,
330,    1 9 12 12 ,  (12-9-1)×12 ,,,,,,,,,,
331,    1 10 10 12 ,  (10/10+1)×12 ,,,,,,,,,,
332,    1 10 11 12 ,  (11+1-10)×12 ,  (11+1)×(12-10) ,,,,,,,,,
333,    1 10 12 12 ,  (12-10)×12×1 ,,,,,,,,,,
334,    1 10 12 13 ,  (13-10-1)×12 ,  (13-1)×(12-10) ,,,,,,,,,
335,    1 11 11 12 ,  (11/11+1)×12 ,,,,,,,,,,
336,    1 11 11 13 ,  (11+1)×(13-11) ,  (13/11+1)×11 ,,,,,,,,,
337,    1 11 12 12 ,  (12+1-11)×12 ,,,,,,,,,,
338,    1 11 12 13 ,  (13-11)×12×1 ,,,,,,,,,,
339,    1 11 13 13 ,  (13-1)×(13-11) ,  (11/13+1)×13 ,,,,,,,,,
340,    1 12 12 12 ,  (12/12+1)×12 ,,,,,,,,,,
341,    1 12 12 13 ,  (13+1-12)×12 ,,,,,,,,,,
342,    1 12 13 13 ,  (13/13+1)×12 ,,,,,,,,,,
343,    2 2 2 3 ,  (2+2)×3×2 ,  3×2×2×2 ,,,,,,,,,
344,    2 2 2 4 ,  (4+2)×(2+2) ,  (2+2+2)×4 ,  (4+2)×2×2 ,  (2×2+2)×4 ,,,,,,,
345,    2 2 2 5 ,  (5×2+2)×2 ,,,,,,,,,,
346,    2 2 2 7 ,  (7×2-2)×2 ,,,,,,,,,,
347,    2 2 2 8 ,  (8-2)×(2+2) ,  (8+2+2)×2 ,  (8-2)×2×2 ,  (2×2+8)×2 ,  (2/2+2)×8 ,,,,,,
348,    2 2 2 9 ,  (9+2)×2+2 ,,,,,,,,,,
349,    2 2 2 10 ,  10×2+2+2 ,  10×2+2×2 ,,,,,,,,,
350,    2 2 2 11 ,  (2/2+11)×2 ,  (11+2)×2-2 ,,,,,,,,,
351,    2 2 2 12 ,  (2+2)×12/2 ,  (2×2-2)×12 ,  12×2+2-2 ,,,,,,,,
352,    2 2 2 13 ,  (13-2/2)×2 ,  (13-2)×2+2 ,,,,,,,,,
353,    2 2 3 3 ,  (3+3)×(2+2) ,  (3+3)×2×2 ,  (3×2+2)×3 ,,,,,,,,
354,    2 2 3 4 ,  (4+2+2)×3 ,  (2×2+4)×3 ,,,,,,,,,
355,    2 2 3 5 ,  (5×2-2)×3 ,,,,,,,,,,
356,    2 2 3 6 ,  (2/2+3)×6 ,  (6-2)×3×2 ,  (3×2-2)×6 ,  (3×2+6)×2 ,,,,,,,
357,    2 2 3 7 ,  (2/2+7)×3 ,  (7+3+2)×2 ,,,,,,,,,
358,    2 2 3 8 ,  8×3+2-2 ,  (8+3)×2+2 ,,,,,,,,,
359,    2 2 3 9 ,  (9-3)×(2+2) ,  (9-3)×2×2 ,  (9-2/2)×3 ,  9×2+3×2 ,  (2/3+2)×9 ,,,,,,
360,    2 2 3 10 ,  (10+3)×2-2 ,,,,,,,,,,
361,    2 2 3 11 ,  (11+3-2)×2 ,,,,,,,,,,
362,    2 2 3 12 ,  (2+2)×3+12 ,  (12-2-2)×3 ,  3×2×2+12 ,  (12-2×2)×3 ,  (3-2/2)×12 ,  (3-2)×12×2 ,  12/(2-3/2) ,  (12/2+2)×3 ,,,
363,    2 2 3 13 ,  (13+2-3)×2 ,,,,,,,,,,
364,    2 2 4 4 ,  (4×2-2)×4 ,  (4×2+4)×2 ,,,,,,,,,
365,    2 2 4 5 ,  5×4+2+2 ,  (2+2)×5+4 ,  5×4+2×2 ,  5×2×2+4 ,  (2/2+5)×4 ,  (5-2)×4×2 ,,,,,
366,    2 2 4 6 ,  6×4+2-2 ,  (4+2)×(6-2) ,  (6+4+2)×2 ,  (4-2)×6×2 ,  (4/2+2)×6 ,,,,,,
367,    2 2 4 7 ,  7×4-2-2 ,  (2+2)×7-4 ,  7×4-2×2 ,  7×2×2-4 ,  (7-2/2)×4 ,  (7+4)×2+2 ,,,,,
368,    2 2 4 8 ,  (2+2)×4+8 ,  4×2×2+8 ,  (4-2/2)×8 ,  (4+2)×8/2 ,  8×2+4×2 ,  (8+2)×2+4 ,  (8×2-4)×2 ,  (8/2+2)×4 ,,,
369,    2 2 4 9 ,  9×2+4+2 ,  (9+4)×2-2 ,,,,,,,,,
370,    2 2 4 10 ,  (10-4)×(2+2) ,  (10-2-2)×4 ,  (10-4)×2×2 ,  (10-2×2)×4 ,  (10+4-2)×2 ,  (10+2)×(4-2) ,  (10+2)×4/2 ,  (4/2+10)×2 ,,,
371,    2 2 4 11 ,  11×2+4-2 ,  (4-2)×11+2 ,  11×4/2+2 ,  11×2+4/2 ,,,,,,,
372,    2 2 4 12 ,  (4+2)×2+12 ,  (12+2)×2-4 ,  (12-2)×2+4 ,,,,,,,,
373,    2 2 4 13 ,  13×2+2-4 ,  (4-2)×13-2 ,  13×4/2-2 ,  13×2-4/2 ,,,,,,,
374,    2 2 5 5 ,  5×5-2/2 ,  (5+5+2)×2 ,,,,,,,,,
375,    2 2 5 6 ,  (5-2/2)×6 ,  (6+2)×(5-2) ,  (6+5)×2+2 ,,,,,,,,
376,    2 2 5 7 ,  7×2+5×2 ,,,,,,,,,,
377,    2 2 5 8 ,  (8+5)×2-2 ,,,,,,,,,,
378,    2 2 5 9 ,  (9+5-2)×2 ,,,,,,,,,,
379,    2 2 5 10 ,  (5+2)×2+10 ,  (10-2)×(5-2) ,  (2/5+2)×10 ,  (10×5-2)/2 ,,,,,,,
380,    2 2 5 11 ,  (11-5)×(2+2) ,  (11-5)×2×2 ,,,,,,,,,
381,    2 2 5 12 ,  5×2+12+2 ,  12/(5/2-2) ,,,,,,,,,
382,    2 2 6 6 ,  (6+2)×6/2 ,  6×2+6×2 ,,,,,,,,,
383,    2 2 6 7 ,  (7+2)×2+6 ,  (7+6)×2-2 ,,,,,,,,,
384,    2 2 6 8 ,  (8-2-2)×6 ,  (8-2×2)×6 ,  8×2+6+2 ,  (6+2)×2+8 ,  (8+6-2)×2 ,  (8-2)×(6-2) ,,,,,
385,    2 2 6 9 ,  (6/2+9)×2 ,  (9×2-6)×2 ,,,,,,,,,
386,    2 2 6 10 ,  6×2+10+2 ,  10×2+6-2 ,  (10-2)×6/2 ,,,,,,,,
387,    2 2 6 11 ,  (11-2)×2+6 ,,,,,,,,,,
388,    2 2 6 12 ,  (12-6)×(2+2) ,  (6-2-2)×12 ,  (12-6)×2×2 ,  (6-2×2)×12 ,  (6-2)×12/2 ,  (12/2-2)×6 ,  (12/2+6)×2 ,,,,
389,    2 2 6 13 ,  (13+2)×2-6 ,,,,,,,,,,
390,    2 2 7 7 ,  (7+7-2)×2 ,,,,,,,,,,
391,    2 2 7 8 ,  (7-2-2)×8 ,  (7-2×2)×8 ,  7×2+8+2 ,,,,,,,,
392,    2 2 7 10 ,  (10/2+7)×2 ,,,,,,,,,,
393,    2 2 7 12 ,  7×2+12-2 ,,,,,,,,,,
394,    2 2 7 13 ,  13+7+2+2 ,  (13-7)×(2+2) ,  2×2+13+7 ,  (13-7)×2×2 ,,,,,,,
395,    2 2 8 8 ,  (2+2)×8-8 ,  8×2×2-8 ,  (8-2)×8/2 ,  (8/2+8)×2 ,,,,,,,
396,    2 2 8 9 ,  9×2+8-2 ,,,,,,,,,,
397,    2 2 8 10 ,  8×2+10-2 ,  10×2+8/2 ,  (10×2-8)×2 ,  (10-2)×2+8 ,  (10/2-2)×8 ,,,,,,
398,    2 2 8 12 ,  12+8+2+2 ,  12×8/(2+2) ,  12×8/2/2 ,  2×2+12+8 ,  (8-2)×2+12 ,  (8/2-2)×12 ,,,,,
399,    2 2 9 10 ,  (9-2)×2+10 ,,,,,,,,,,
400,    2 2 9 11 ,  11+9+2+2 ,  2×2+11+9 ,,,,,,,,,
401,    2 2 9 12 ,  (2+2)×9-12 ,  9×2×2-12 ,  9×2+12/2 ,,,,,,,,
402,    2 2 10 10 ,  10+10+2+2 ,  2×2+10+10 ,,,,,,,,,
403,    2 2 10 11 ,  (11×2-10)×2 ,,,,,,,,,,
404,    2 2 10 13 ,  2/2+13+10 ,,,,,,,,,,
405,    2 2 11 11 ,  (2/11+2)×11 ,,,,,,,,,,
406,    2 2 11 12 ,  2/2+12+11 ,,,,,,,,,,
407,    2 2 11 13 ,  13+11+2-2 ,,,,,,,,,,
408,    2 2 12 12 ,  12+12+2-2 ,  (12×2-12)×2 ,,,,,,,,,
409,    2 2 12 13 ,  13+12-2/2 ,,,,,,,,,,
410,    2 2 13 13 ,  (2-2/13)×13 ,,,,,,,,,,
411,    2 3 3 3 ,  (3+3+2)×3 ,  (3×3+3)×2 ,,,,,,,,,
412,    2 3 3 5 ,  (5+2)×3+3 ,  (5×3-3)×2 ,,,,,,,,,
413,    2 3 3 6 ,  6×3+3×2 ,  3×3×2+6 ,  (3+3-2)×6 ,  (3+3)×(6-2) ,  (6+3+3)×2 ,,,,,,
414,    2 3 3 7 ,  (7-3)×3×2 ,  (7+3-2)×3 ,  (7+2)×3-3 ,,,,,,,,
415,    2 3 3 8 ,  (3×2-3)×8 ,  (3-2)×8×3 ,  (3+3)×8/2 ,  (3/3+2)×8 ,,,,,,,
416,    2 3 3 9 ,  (3+2)×3+9 ,  (9+2-3)×3 ,  9×2+3+3 ,  (9-2)×3+3 ,,,,,,,
417,    2 3 3 10 ,  10×3-3×2 ,  (10/2+3)×3 ,,,,,,,,,
418,    2 3 3 11 ,  (11-2)×3-3 ,  (3/3+11)×2 ,,,,,,,,,
419,    2 3 3 12 ,  12×2+3-3 ,  (3+3)×2+12 ,,,,,,,,,
420,    2 3 3 13 ,  (13-3-2)×3 ,  (13+3)×3/2 ,  3×3+13+2 ,  (13-3/3)×2 ,,,,,,,
421,    2 3 4 4 ,  (3+2)×4+4 ,  4×4×3/2 ,  (4-2)×4×3 ,,,,,,,,
422,    2 3 4 5 ,  (5+3-2)×4 ,  (5+4+3)×2 ,,,,,,,,,
423,    2 3 4 6 ,  (3-2)×6×4 ,  6×3+4+2 ,  (4+2)×3+6 ,  (6-3)×4×2 ,  (6+4-2)×3 ,  (4/2+6)×3 ,  6×2+4×3 ,  (6×2-4)×3 ,  (6/2+3)×4 ,,
424,    2 3 4 7 ,  (7+2-3)×4 ,  (4+2)×(7-3) ,  (7+3)×2+4 ,,,,,,,,
425,    2 3 4 8 ,  (8-4)×3×2 ,  (4+2-3)×8 ,  (8/2+4)×3 ,,,,,,,,
426,    2 3 4 9 ,  9×4×2/3 ,  (9+3)×(4-2) ,  (9+3)×4/2 ,,,,,,,,
427,    2 3 4 10 ,  10×3-4-2 ,  (10+2-4)×3 ,  (10-4/2)×3 ,  4×3+10+2 ,  (4+3)×2+10 ,,,,,,
428,    2 3 4 11 ,  (11-3-2)×4 ,  (11+4-3)×2 ,  (11+3)×2-4 ,,,,,,,,
429,    2 3 4 12 ,  (3×2-4)×12 ,  (12-3×2)×4 ,  (12+4)×3/2 ,  (4+2)×12/3 ,  (4-3)×12×2 ,  (12/3+2)×4 ,,,,,
430,    2 3 4 13 ,  4×2+13+3 ,  (13+3-4)×2 ,  (13-3)×2+4 ,,,,,,,,
431,    2 3 5 5 ,  5×5+2-3 ,  (5+5-2)×3 ,  (5+3)×(5-2) ,,,,,,,,
432,    2 3 5 6 ,  6×5-3×2 ,  5×3×2-6 ,  (5+2-3)×6 ,  (5-3)×6×2 ,  (5+3)×6/2 ,  (6/2+5)×3 ,,,,,
433,    2 3 5 7 ,  7×3+5-2 ,  (5-2)×7+3 ,  5×3+7+2 ,,,,,,,,
434,    2 3 5 8 ,  8×2+5+3 ,  (5+3)×2+8 ,  8/(2-5/3) ,,,,,,,,
435,    2 3 5 9 ,  (9-5)×3×2 ,  9×3+2-5 ,  (5-2)×9-3 ,  (9×5+3)/2 ,,,,,,,
436,    2 3 5 10 ,  (10+2)×(5-3) ,  (10+5-3)×2 ,,,,,,,,,
437,    2 3 5 11 ,  (11+5)×3/2 ,  5×2+11+3 ,  (11+2-5)×3 ,  (11-3)×(5-2) ,  11×2+5-3 ,  5×3+11-2 ,  (5-3)×11+2 ,,,,
438,    2 3 5 12 ,  12/(3-5/2) ,,,,,,,,,,
439,    2 3 5 13 ,  3×2+13+5 ,  13×2+3-5 ,  (5-3)×13-2 ,,,,,,,,
440,    2 3 6 6 ,  (3+2)×6-6 ,  6×6×2/3 ,  (6+2)×(6-3) ,  (6+3)×2+6 ,  (6×3-6)×2 ,  (6/3+2)×6 ,,,,,
441,    2 3 6 7 ,  7×6/2+3 ,  7×3+6/2 ,  (7×2-6)×3 ,,,,,,,,
442,    2 3 6 8 ,  (8+2)×3-6 ,  6×3+8-2 ,  (8-2)×3+6 ,,,,,,,,
443,    2 3 6 9 ,  (9-3-2)×6 ,  (6+2)×9/3 ,  6×2+9+3 ,  (9-3)×(6-2) ,  (3-2/6)×9 ,  9×6/2-3 ,  9×3-6/2 ,  (9+6-3)×2 ,,,
444,    2 3 6 10 ,  (10-6)×3×2 ,  (10-3×2)×6 ,  (10+6)×3/2 ,  (10+2)×6/3 ,  (10-2)×(6-3) ,  (6/3+10)×2 ,,,,,
445,    2 3 6 11 ,  (11-3)×6/2 ,  (11-6/2)×3 ,  11×2+6/3 ,  11×6/3+2 ,,,,,,,
446,    2 3 6 12 ,  3×2+12+6 ,  6×3×2-12 ,  12×3/2+6 ,  12×3-6×2 ,  (12+2-6)×3 ,  (6-2)×3+12 ,  (12-2)×3-6 ,  6×3+12/2 ,  (12+3)×2-6 ,  (12-3)×2+6 ,
447,    2 3 6 13 ,  13+6+3+2 ,  13×2-6/3 ,  13×6/3-2 ,,,,,,,,
448,    2 3 7 7 ,  7×2+7+3 ,,,,,,,,,,
449,    2 3 7 8 ,  (7+2)×8/3 ,  (8-2)×(7-3) ,  (8+7-3)×2 ,  8/(7/3-2) ,,,,,,,
450,    2 3 7 9 ,  (9+7)×3/2 ,  (7-2)×3+9 ,  (7×3-9)×2 ,,,,,,,,
451,    2 3 7 10 ,  10×2+7-3 ,  (10×7+2)/3 ,,,,,,,,,
452,    2 3 7 11 ,  (3+2)×7-11 ,  3×2+11+7 ,  (11-7)×3×2 ,  11×3-7-2 ,,,,,,,
453,    2 3 7 12 ,  12+7+3+2 ,  (7-3-2)×12 ,  12/(7/2-3) ,  (7-3)×12/2 ,,,,,,,
454,    2 3 7 13 ,  7×2+13-3 ,  (13+2-7)×3 ,,,,,,,,,
455,    2 3 8 8 ,  (8-3-2)×8 ,  (8+8)×3/2 ,  (8×2-8)×3 ,,,,,,,,
456,    2 3 8 9 ,  (9-3×2)×8 ,  (9-3)×8/2 ,,,,,,,,,
457,    2 3 8 10 ,  3×2+10+8 ,  10×3+2-8 ,,,,,,,,,
