,    Solvables       ,        Solution 1       ,        Solution 2       ,        Solution 3       ,        Solution 4       ,        Solution 5       ,        Solution 6       ,        Solution 7       ,        Solution 8       ,        Solution 9       ,        Solution 10       ,        Solution 11       
656,    2 11 13 13 ,  13×2+11-13 ,  (13-11)×13-2 ,  (13+13)/2+11 ,  (13/13+11)×2 ,,,,,,,
657,    2 12 12 12 ,  12×2+12-12 ,  (12+12)/2+12 ,,,,,,,,,
658,    2 12 12 13 ,  (13-12)×12×2 ,  (13-12/12)×2 ,,,,,,,,,
659,    2 12 13 13 ,  12×2+13-13 ,,,,,,,,,,
660,    2 13 13 13 ,  (13-13/13)×2 ,,,,,,,,,,
661,    3 3 3 3 ,  3×3×3-3 ,,,,,,,,,,
662,    3 3 3 4 ,  (3×3-3)×4 ,  (4+3)×3+3 ,,,,,,,,,
663,    3 3 3 5 ,  5×3+3×3 ,,,,,,,,,,
664,    3 3 3 6 ,  6×3+3+3 ,  (3+3)×3+6 ,  (3/3+3)×6 ,  (6+3)×3-3 ,,,,,,,
665,    3 3 3 7 ,  (3+3)×(7-3) ,  (3/3+7)×3 ,,,,,,,,,
666,    3 3 3 8 ,  8×3+3-3 ,,,,,,,,,,
667,    3 3 3 9 ,  (9-3/3)×3 ,,,,,,,,,,
668,    3 3 3 10 ,  10×3-3-3 ,  (10-3)×3+3 ,,,,,,,,,
669,    3 3 3 11 ,  11×3-3×3 ,,,,,,,,,,
670,    3 3 3 12 ,  (3+3)×12/3 ,  3×3+12+3 ,  (3-3/3)×12 ,  (12-3)×3-3 ,,,,,,,
671,    3 3 4 4 ,  4×3+4×3 ,  (4×3-4)×3 ,,,,,,,,,
672,    3 3 4 5 ,  (3/3+5)×4 ,  (5-3)×4×3 ,  (5+4)×3-3 ,,,,,,,,
673,    3 3 4 6 ,  6×4+3-3 ,,,,,,,,,,
674,    3 3 4 7 ,  (7-3/3)×4 ,  (7+4-3)×3 ,,,,,,,,,
675,    3 3 4 8 ,  (3+3)×(8-4) ,  (4-3/3)×8 ,  (4-3)×8×3 ,,,,,,,,
676,    3 3 4 9 ,  4×3+9+3 ,  (9+3-4)×3 ,  (9/3+3)×4 ,,,,,,,,
677,    3 3 4 11 ,  3×3+11+4 ,  (11-4)×3+3 ,,,,,,,,,
678,    3 3 4 12 ,  (3+3-4)×12 ,  (12-3-3)×4 ,  4×3×3-12 ,  12×3-4×3 ,  (12/3+4)×3 ,,,,,,
679,    3 3 4 13 ,  (13-4)×3-3 ,,,,,,,,,,
680,    3 3 5 5 ,  5×5-3/3 ,,,,,,,,,,
681,    3 3 5 6 ,  6×5-3-3 ,  (3+3)×5-6 ,  (3×3-5)×6 ,  (5-3/3)×6 ,  (5+3)×(6-3) ,  5×3+6+3 ,  (6+5-3)×3 ,,,,
682,    3 3 5 7 ,  (5×3-7)×3 ,,,,,,,,,,
683,    3 3 5 9 ,  (3+3)×(9-5) ,  (5+3)×9/3 ,  (9+3)×(5-3) ,  (9/3+5)×3 ,,,,,,,
684,    3 3 5 10 ,  3×3+10+5 ,  (10+3-5)×3 ,  (3-3/5)×10 ,,,,,,,,
685,    3 3 5 12 ,  5×3+12-3 ,  (12-5)×3+3 ,,,,,,,,,
686,    3 3 5 13 ,  13+5+3+3 ,  13×3-5×3 ,,,,,,,,,
687,    3 3 6 6 ,  (6/3+6)×3 ,,,,,,,,,,
688,    3 3 6 7 ,  7×3+6-3 ,  (6-3)×7+3 ,  (7+3)×3-6 ,,,,,,,,
689,    3 3 6 8 ,  (3×3-6)×8 ,  (6+3)×8/3 ,,,,,,,,,
690,    3 3 6 9 ,  3×3+9+6 ,  6×3+9-3 ,  9×3+3-6 ,  (6-3)×9-3 ,  (9+3)×6/3 ,  (9-3)×3+6 ,,,,,
691,    3 3 6 10 ,  (3+3)×(10-6) ,  (10-3-3)×6 ,  (6×3-10)×3 ,  (10-6/3)×3 ,,,,,,,
692,    3 3 6 11 ,  11×3-6-3 ,  (11+3-6)×3 ,  (11-3)×(6-3) ,,,,,,,,
693,    3 3 6 12 ,  12+6+3+3 ,  (3+3)×6-12 ,,,,,,,,,
694,    3 3 6 13 ,  (13-3×3)×6 ,  (13-3)×3-6 ,  (13-6)×3+3 ,,,,,,,,
695,    3 3 7 7 ,  (3/7+3)×7 ,,,,,,,,,,
696,    3 3 7 8 ,  3×3+8+7 ,,,,,,,,,,
697,    3 3 7 9 ,  7×3+9/3 ,  (9-3)×(7-3) ,  9×7/3+3 ,,,,,,,,
698,    3 3 7 11 ,  11+7+3+3 ,  (3+3)×(11-7) ,,,,,,,,,
699,    3 3 7 12 ,  (3×3-7)×12 ,  (12+3-7)×3 ,  (7-3)×3+12 ,,,,,,,,
700,    3 3 7 13 ,  (7×3-13)×3 ,,,,,,,,,,
701,    3 3 8 8 ,  8/(3-8/3) ,,,,,,,,,,
702,    3 3 8 9 ,  (9-3-3)×8 ,  (8+3)×3-9 ,  (8-3)×3+9 ,,,,,,,,
703,    3 3 8 10 ,  10+8+3+3 ,  8/(10/3-3) ,,,,,,,,,
704,    3 3 8 12 ,  (3+3)×(12-8) ,  (8-3-3)×12 ,  (12-3×3)×8 ,  (12-3)×8/3 ,,,,,,,
705,    3 3 8 13 ,  (13+3-8)×3 ,,,,,,,,,,
706,    3 3 9 9 ,  9+9+3+3 ,  9×3-9/3 ,  (3-3/9)×9 ,  9×9/3-3 ,,,,,,,
707,    3 3 9 10 ,  10×3+3-9 ,,,,,,,,,,
708,    3 3 9 11 ,  (11-3)×9/3 ,  (11-9/3)×3 ,,,,,,,,,
709,    3 3 9 12 ,  12×3-9-3 ,  (9+3)×3-12 ,  (9-3)×12/3 ,,,,,,,,
710,    3 3 9 13 ,  (3+3)×(13-9) ,,,,,,,,,,
711,    3 3 10 13 ,  3/3+13+10 ,,,,,,,,,,
712,    3 3 11 12 ,  (11-3×3)×12 ,  3/3+12+11 ,  11×3+3-12 ,,,,,,,,
713,    3 3 11 13 ,  13+11+3-3 ,,,,,,,,,,
714,    3 3 12 12 ,  12×12/(3+3) ,  12+12+3-3 ,  (12-12/3)×3 ,,,,,,,,
715,    3 3 12 13 ,  13+12-3/3 ,  13×3-12-3 ,,,,,,,,,
716,    3 4 4 4 ,  (4+3)×4-4 ,,,,,,,,,,
717,    3 4 4 5 ,  (5+4-3)×4 ,  4×4+5+3 ,,,,,,,,,
718,    3 4 4 6 ,  (6-4)×4×3 ,  (4×3-6)×4 ,  (4-3)×6×4 ,  (4+4)×(6-3) ,  (6/3+4)×4 ,  (4/4+3)×6 ,,,,,
719,    3 4 4 7 ,  (7+3-4)×4 ,  (4/4+7)×3 ,,,,,,,,,
720,    3 4 4 8 ,  4×3+8+4 ,  8×3+4-4 ,  (8-3)×4+4 ,  (4×4-8)×3 ,,,,,,,
721,    3 4 4 9 ,  9×4-4×3 ,  (4-4/3)×9 ,  (4+4)×9/3 ,  (9-4/4)×3 ,,,,,,,
722,    3 4 4 10 ,  (10-3)×4-4 ,,,,,,,,,,
723,    3 4 4 11 ,  4×4+11-3 ,,,,,,,,,,
724,    3 4 4 12 ,  (3-4/4)×12 ,  (12/4+3)×4 ,,,,,,,,,
725,    3 4 4 13 ,  13+4+4+3 ,  (13-4-3)×4 ,,,,,,,,,
726,    3 4 5 5 ,  5×5+3-4 ,  5×3+5+4 ,,,,,,,,,
727,    3 4 5 6 ,  (5+3-4)×6 ,,,,,,,,,,
728,    3 4 5 7 ,  4×3+7+5 ,  (7-5)×4×3 ,  (5+3)×(7-4) ,  5×4+7-3 ,  (7-3)×5+4 ,  (7+5-4)×3 ,,,,,
729,    3 4 5 8 ,  8×4-5-3 ,  (5+3)×4-8 ,  (8+3-5)×4 ,  (8+4)×(5-3) ,  (5-4)×8×3 ,  (5+4)×8/3 ,,,,,
730,    3 4 5 9 ,  (5×3-9)×4 ,  (9+4-5)×3 ,,,,,,,,,
731,    3 4 5 10 ,  10×4×3/5 ,  (5-3)×10+4 ,,,,,,,,,
732,    3 4 5 11 ,  (4+3)×5-11 ,  11×3-5-4 ,,,,,,,,,
733,    3 4 5 12 ,  12+5+4+3 ,  (4+3-5)×12 ,  (5+3)×12/4 ,  12×4/(5-3) ,  12×5/3+4 ,  5×4+12/3 ,  (5×4-12)×3 ,  (12/4+5)×3 ,,,
734,    3 4 5 13 ,  (13+5)×4/3 ,  5×3+13-4 ,,,,,,,,,
735,    3 4 6 6 ,  4×3+6+6 ,  6×6-4×3 ,  (6+4)×3-6 ,  (6+6-4)×3 ,,,,,,,
736,    3 4 6 8 ,  (8-6)×4×3 ,  (4×3-8)×6 ,  (8+4)×6/3 ,  (8-6/3)×4 ,  (8/4+6)×3 ,,,,,,
737,    3 4 6 9 ,  (9+3-6)×4 ,  (9+3)×(6-4) ,,,,,,,,,
738,    3 4 6 10 ,  6×3+10-4 ,  10×6/3+4 ,  (10+4-6)×3 ,  (10-4)×3+6 ,,,,,,,
739,    3 4 6 11 ,  11+6+4+3 ,  (11-4-3)×6 ,  6/(3-11/4) ,,,,,,,,
740,    3 4 6 12 ,  12×4×3/6 ,  (12+6)×4/3 ,  (6+3)×4-12 ,  (6×3-12)×4 ,  (12-4)×(6-3) ,  (6-3)×4+12 ,  (4-6/3)×12 ,,,,
741,    3 4 6 13 ,  (13+3)×6/4 ,  6/(13/4-3) ,,,,,,,,,
742,    3 4 7 7 ,  7×3+7-4 ,  7×4+3-7 ,  (7-3)×7-4 ,  (7-4)×7+3 ,,,,,,,
743,    3 4 7 8 ,  (7-3)×4+8 ,,,,,,,,,,
744,    3 4 7 9 ,  (9-7)×4×3 ,  9×3+4-7 ,  (7+4)×3-9 ,  (7-4)×9-3 ,,,,,,,
745,    3 4 7 10 ,  10+7+4+3 ,  (10+3-7)×4 ,  (10-4)×(7-3) ,,,,,,,,
746,    3 4 7 11 ,  (11+7)×4/3 ,  (11-3)×(7-4) ,  (11+4-7)×3 ,,,,,,,,
747,    3 4 7 12 ,  7×3+12/4 ,  12×7/3-4 ,  7×4-12/3 ,  12×7/4+3 ,,,,,,,
748,    3 4 8 9 ,  9+8+4+3 ,  (4×3-9)×8 ,  (9+3)×8/4 ,  (9-3)×(8-4) ,,,,,,,
749,    3 4 8 10 ,  (10-4-3)×8 ,  (10-8)×4×3 ,  (10+8)×4/3 ,  (10-8/4)×3 ,,,,,,,
750,    3 4 8 11 ,  (11+3-8)×4 ,  8×4+3-11 ,  (11-3)×4-8 ,  8/(4-11/3) ,,,,,,,
751,    3 4 8 12 ,  12×4/3+8 ,  12×4-8×3 ,  12×3-8-4 ,  (8+4)×3-12 ,  (12+4-8)×3 ,  (8-4)×3+12 ,,,,,
752,    3 4 8 13 ,  (13-4)×8/3 ,  8/(13/3-4) ,,,,,,,,,
753,    3 4 9 9 ,  (9+9)×4/3 ,  9×4-9-3 ,  (9-9/3)×4 ,  (9-4)×3+9 ,,,,,,,
754,    3 4 9 11 ,  (11-9)×4×3 ,  (11×9-3)/4 ,,,,,,,,,
755,    3 4 9 12 ,  (9-4-3)×12 ,  9×4/3+12 ,  9×3-12/4 ,  (12+3-9)×4 ,  (12-4)×9/3 ,  12×9/4-3 ,  (3-4/12)×9 ,,,,
756,    3 4 9 13 ,  (13+4-9)×3 ,,,,,,,,,,
757,    3 4 10 10 ,  10×3+4-10 ,,,,,,,,,,
758,    3 4 10 12 ,  (12-10)×4×3 ,  (4×3-10)×12 ,  (10-4)×12/3 ,  (10-12/3)×4 ,  12/(3-10/4) ,,,,,,
759,    3 4 10 13 ,  13+10+4-3 ,  (13+3-10)×4 ,  10×4-13-3 ,,,,,,,,
760,    3 4 11 12 ,  12+11+4-3 ,  (11-3)×12/4 ,  (11-12/4)×3 ,,,,,,,,
761,    3 4 11 13 ,  (13-11)×4×3 ,  (13+11)×(4-3) ,  11×3+4-13 ,  13×3-11-4 ,,,,,,,
762,    3 4 12 12 ,  (12+12)×(4-3) ,  (12-3)×4-12 ,,,,,,,,,
763,    3 4 12 13 ,  13+12+3-4 ,,,,,,,,,,
764,    3 5 5 6 ,  (5+5)×3-6 ,  (5/5+3)×6 ,,,,,,,,,
765,    3 5 5 7 ,  (7+5)×(5-3) ,  (5/5+7)×3 ,,,,,,,,,
766,    3 5 5 8 ,  (5+3)×(8-5) ,  8×3+5-5 ,,,,,,,,,
767,    3 5 5 9 ,  (9-5/5)×3 ,  (9/5+3)×5 ,,,,,,,,,
768,    3 5 5 11 ,  11+5+5+3 ,,,,,,,,,,
769,    3 5 5 12 ,  (3-5/5)×12 ,,,,,,,,,,
770,    3 5 6 6 ,  (6+3-5)×6 ,  (6+6)×(5-3) ,,,,,,,,,
771,    3 5 6 7 ,  (7+5)×6/3 ,  (7+6-5)×3 ,,,,,,,,,
772,    3 5 6 8 ,  8×6/(5-3) ,  (5-6/3)×8 ,  (6-5)×8×3 ,,,,,,,,
773,    3 5 6 9 ,  (5+3)×(9-6) ,  (5-3)×9+6 ,  (6-3)×5+9 ,  6×5+3-9 ,  (9-3)×5-6 ,  (6+5)×3-9 ,  (9+5-6)×3 ,,,,
774,    3 5 6 10 ,  10+6+5+3 ,  (10/5+6)×3 ,,,,,,,,,
775,    3 5 6 11 ,  (5×3-11)×6 ,  6×3+11-5 ,  (11-5)×3+6 ,,,,,,,,
776,    3 5 6 12 ,  (5+3-6)×12 ,  (12-5-3)×6 ,  (5-3)×6+12 ,,,,,,,,
777,    3 5 6 13 ,  (13-5)×(6-3) ,,,,,,,,,,
778,    3 5 7 8 ,  7×3+8-5 ,  7×5-8-3 ,  (8-5)×7+3 ,,,,,,,,
779,    3 5 7 9 ,  9+7+5+3 ,  9×5-7×3 ,  (5-7/3)×9 ,  (9+3)×(7-5) ,,,,,,,
780,    3 5 7 10 ,  (5+3)×(10-7) ,  (5-3)×7+10 ,  (10+5-7)×3 ,,,,,,,,
781,    3 5 7 11 ,  (11-5)×(7-3) ,  (11×7-5)/3 ,,,,,,,,,
782,    3 5 7 12 ,  (7+3)×12/5 ,  12×3-7-5 ,  (7+5)×3-12 ,,,,,,,,
783,    3 5 7 13 ,  (13×5+7)/3 ,,,,,,,,,,
784,    3 5 8 8 ,  8+8+5+3 ,  (5-3)×8+8 ,,,,,,,,,
785,    3 5 8 9 ,  9×3+5-8 ,  (8-5)×9-3 ,,,,,,,,,
786,    3 5 8 11 ,  (5+3)×(11-8) ,  (11-5-3)×8 ,  (11-3)×(8-5) ,  (11+5-8)×3 ,,,,,,,
787,    3 5 8 12 ,  (5×3-12)×8 ,  (12+3)×8/5 ,,,,,,,,,
788,    3 5 8 13 ,  8×5-13-3 ,,,,,,,,,,
789,    3 5 9 9 ,  9×5/3+9 ,  (9-3)×(9-5) ,,,,,,,,,
790,    3 5 9 10 ,  (9+3)×10/5 ,  (10-5)×3+9 ,,,,,,,,,
791,    3 5 9 12 ,  (5+3)×(12-9) ,  (5-9/3)×12 ,  (12+5-9)×3 ,  (9-5)×3+12 ,,,,,,,
792,    3 5 9 13 ,  13+9+5-3 ,  (13-5)×9/3 ,  (13×9+3)/5 ,,,,,,,,
793,    3 5 10 10 ,  (10-10/5)×3 ,,,,,,,,,,
794,    3 5 10 11 ,  10×3+5-11 ,  (10-3)×5-11 ,,,,,,,,,
795,    3 5 10 12 ,  (10-5-3)×12 ,  12+10+5-3 ,,,,,,,,,
796,    3 5 10 13 ,  (5+3)×(13-10) ,  13×3-10-5 ,  (13+5-10)×3 ,,,,,,,,
797,    3 5 11 11 ,  11+11+5-3 ,,,,,,,,,,
798,    3 5 11 12 ,  (11-5)×12/3 ,,,,,,,,,,
799,    3 5 12 12 ,  12×5-12×3 ,  (12×5+12)/3 ,,,,,,,,,
800,    3 5 12 13 ,  (5×3-13)×12 ,  (13-3)×12/5 ,,,,,,,,,
801,    3 5 13 13 ,  13+13+3-5 ,,,,,,,,,,
802,    3 6 6 6 ,  (6-3)×6+6 ,  (6+6)×6/3 ,  (6-6/3)×6 ,  (6/6+3)×6 ,,,,,,,
803,    3 6 6 7 ,  7×6-6×3 ,  (7+3-6)×6 ,  (6/6+7)×3 ,,,,,,,,
804,    3 6 6 8 ,  8×3+6-6 ,  (8-3)×6-6 ,,,,,,,,,
805,    3 6 6 9 ,  9+6+6+3 ,  9×6/3+6 ,  6×6-9-3 ,  (9-6/6)×3 ,,,,,,,
806,    3 6 6 10 ,  (6-3)×10-6 ,,,,,,,,,,
807,    3 6 6 11 ,  (11×6+6)/3 ,,,,,,,,,,
808,    3 6 6 12 ,  6×3+12-6 ,  12×6/(6-3) ,  6×6/3+12 ,  12×3-6-6 ,  (6+6)×3-12 ,  (3-6/6)×12 ,  (12-6)×3+6 ,  (12/6+6)×3 ,,,
809,    3 6 6 13 ,  (13-6-3)×6 ,  (13×6-6)/3 ,,,,,,,,,
810,    3 6 7 7 ,  (7+7-6)×3 ,  (7/7+3)×6 ,,,,,,,,,
811,    3 6 7 8 ,  8+7+6+3 ,  (8+3-7)×6 ,  (7-6)×8×3 ,,,,,,,,
812,    3 6 7 9 ,  7×3+9-6 ,  (7-9/3)×6 ,  (9+6-7)×3 ,  (9-6)×7+3 ,,,,,,,
813,    3 6 7 10 ,  7×6/3+10 ,,,,,,,,,,
814,    3 6 7 12 ,  (6+3-7)×12 ,  (12-6)×(7-3) ,,,,,,,,,
815,    3 6 7 13 ,  6×3+13-7 ,  (13-7)×3+6 ,,,,,,,,,
816,    3 6 8 8 ,  8×6/3+8 ,  8×6-8×3 ,  (8/8+3)×6 ,,,,,,,,
817,    3 6 8 9 ,  9×8/(6-3) ,  (9+3-8)×6 ,  (9+3)×(8-6) ,  (6-9/3)×8 ,,,,,,,
818,    3 6 8 10 ,  (10+6-8)×3 ,,,,,,,,,,
819,    3 6 8 12 ,  (12-6-3)×8 ,  (8-12/3)×6 ,,,,,,,,,
820,    3 6 8 13 ,  13+8+6-3 ,,,,,,,,,,
821,    3 6 9 9 ,  9×3+6-9 ,  (9-6)×9-3 ,  (9/9+3)×6 ,,,,,,,,
822,    3 6 9 10 ,  (10+3-9)×6 ,  (9-3)×(10-6) ,  10×9/3-6 ,  9×6-10×3 ,  (6-10/3)×9 ,,,,,,
823,    3 6 9 11 ,  (6-3)×11-9 ,  (11-3)×(9-6) ,  (11+6-9)×3 ,  (11-6)×3+9 ,,,,,,,
824,    3 6 9 12 ,  12×6×3/9 ,  12+9+6-3 ,  (9+3)×12/6 ,  (9-3)×6-12 ,,,,,,,
825,    3 6 9 13 ,  6/3+13+9 ,  (13+3)×9/6 ,  13×3-9-6 ,,,,,,,,
826,    3 6 10 10 ,  (3-6/10)×10 ,  (10/10+3)×6 ,,,,,,,,,
827,    3 6 10 11 ,  11+10+6-3 ,  (11+3-10)×6 ,,,,,,,,,
828,    3 6 10 12 ,  6/3+12+10 ,  10×3+6-12 ,  10×6-12×3 ,  (10×6+12)/3 ,  (12+6-10)×3 ,  (10-6)×3+12 ,  (10-12/6)×3 ,,,,
829,    3 6 11 11 ,  6/3+11+11 ,  (11/11+3)×6 ,,,,,,,,,
830,    3 6 11 12 ,  (11-6-3)×12 ,  (12+3-11)×6 ,,,,,,,,,
831,    3 6 11 13 ,  (13+6-11)×3 ,,,,,,,,,,
832,    3 6 12 12 ,  (6-3)×12-12 ,  (12-6)×12/3 ,  (6-12/3)×12 ,  (12/12+3)×6 ,,,,,,,
833,    3 6 12 13 ,  (13+3-12)×6 ,,,,,,,,,,
834,    3 6 13 13 ,  13+13-6/3 ,  (13/13+3)×6 ,,,,,,,,,
835,    3 7 7 7 ,  7+7+7+3 ,  (7/7+7)×3 ,,,,,,,,,
836,    3 7 7 8 ,  8×3+7-7 ,,,,,,,,,,
837,    3 7 7 9 ,  (9-7/7)×3 ,,,,,,,,,,
838,    3 7 7 10 ,  7×3+10-7 ,  (10-7)×7+3 ,,,,,,,,,
839,    3 7 7 12 ,  (3-7/7)×12 ,,,,,,,,,,
840,    3 7 7 13 ,  13+7+7-3 ,  (13-7)×(7-3) ,,,,,,,,,
841,    3 7 8 8 ,  (7-3)×8-8 ,  (8-7)×8×3 ,  (8/8+7)×3 ,,,,,,,,
842,    3 7 8 9 ,  (9+7-8)×3 ,,,,,,,,,,
843,    3 7 8 11 ,  7×3+11-8 ,  (8-3)×7-11 ,  (11-8)×7+3 ,,,,,,,,
844,    3 7 8 12 ,  (7+3-8)×12 ,  12+8+7-3 ,  12×8/(7-3) ,  (7-12/3)×8 ,,,,,,,
845,    3 7 8 13 ,  (13-7-3)×8 ,  13×3-8-7 ,,,,,,,,,
846,    3 7 9 9 ,  (9+3)×(9-7) ,  (9×7+9)/3 ,  (9/9+7)×3 ,,,,,,,,
847,    3 7 9 10 ,  9×3+7-10 ,  (10+7-9)×3 ,  (10-7)×9-3 ,,,,,,,,
848,    3 7 9 11 ,  11+9+7-3 ,  (9-3)×(11-7) ,,,,,,,,,
849,    3 7 9 12 ,  7×3+12-9 ,  (7-3)×9-12 ,  (12-7)×3+9 ,  (12-9)×7+3 ,,,,,,,
850,    3 7 9 13 ,  9×7-13×3 ,  (7-13/3)×9 ,,,,,,,,,
851,    3 7 10 10 ,  10+10+7-3 ,  (10/10+7)×3 ,,,,,,,,,
852,    3 7 10 11 ,  (11-3)×(10-7) ,  (11+7-10)×3 ,,,,,,,,,
853,    3 7 10 13 ,  7×3+13-10 ,  10×3+7-13 ,  (13-10)×7+3 ,,,,,,,,
854,    3 7 11 11 ,  (11/11+7)×3 ,,,,,,,,,,
855,    3 7 11 12 ,  (11+3)×12/7 ,  (12+7-11)×3 ,  (11-7)×3+12 ,,,,,,,,
856,    3 7 12 12 ,  (12-7-3)×12 ,  (12×7-12)/3 ,  (12/12+7)×3 ,,,,,,,,
857,    3 7 12 13 ,  (13-7)×12/3 ,  12/3+13+7 ,  (13+7-12)×3 ,,,,,,,,
858,    3 7 13 13 ,  (13/13+7)×3 ,,,,,,,,,,
859,    3 8 8 8 ,  8×3+8-8 ,  (8×8+8)/3 ,,,,,,,,,
860,    3 8 8 9 ,  (9-8)×8×3 ,  (9-8/8)×3 ,,,,,,,,,
861,    3 8 8 10 ,  (10×8-8)/3 ,,,,,,,,,,
862,    3 8 8 11 ,  11+8+8-3 ,,,,,,,,,,
863,    3 8 8 12 ,  12×8/3-8 ,  (3-8/8)×12 ,,,,,,,,,
864,    3 8 9 9 ,  8×3+9-9 ,,,,,,,,,,
865,    3 8 9 10 ,  (10-9)×8×3 ,  10+9+8-3 ,  (9+3)×(10-8) ,,,,,,,,
866,    3 8 9 11 ,  9×3+8-11 ,  (11-8)×9-3 ,,,,,,,,,
867,    3 8 9 12 ,  (8+3-9)×12 ,  (9-3)×(12-8) ,,,,,,,,,
868,    3 8 9 13 ,  9/3+13+8 ,  (13-8)×3+9 ,,,,,,,,,
869,    3 8 10 10 ,  8×3+10-10 ,,,,,,,,,,
870,    3 8 10 11 ,  (11-10)×8×3 ,,,,,,,,,,
871,    3 8 10 12 ,  12×10/(8-3) ,,,,,,,,,,
872,    3 8 11 11 ,  8×3+11-11 ,  (11-3)×(11-8) ,,,,,,,,,
873,    3 8 11 12 ,  (12-11)×8×3 ,,,,,,,,,,
